2021,1,1,12.702
2021,1,2,12.671
2021,1,3,12.704
2021,1,4,12.77
2021,1,5,12.814
2021,1,6,12.929
2021,1,7,13.029
2021,1,8,13.023
2021,1,9,13.099
2021,1,10,13.164
2021,1,11,13.154
2021,1,12,13.288
2021,1,13,13.33
2021,1,14,13.398
2021,1,15,13.487
2021,1,16,13.599
2021,1,17,13.78
2021,1,18,13.793
2021,1,19,13.686
2021,1,20,13.721
2021,1,21,13.753
2021,1,22,13.803
2021,1,23,13.864
2021,1,24,13.884
2021,1,25,13.961
2021,1,26,13.999
2021,1,27,14.072
2021,1,28,13.959
2021,1,29,13.998
2021,1,30,14.11
2021,1,31,14.2
2021,2,1,14.183
2021,2,2,14.232
2021,2,3,14.332
2021,2,4,14.285
2021,2,5,14.273
2021,2,6,14.33
2021,2,7,14.412
2021,2,8,14.469
2021,2,9,14.446
2021,2,10,14.418
2021,2,11,14.576
2021,2,12,14.554
2021,2,13,14.501
2021,2,14,14.484
2021,2,15,14.594
2021,2,16,14.559
2021,2,17,14.404
2021,2,18,14.294
2021,2,19,14.329
2021,2,22,14.312
2021,2,23,14.336
2021,2,24,14.249
2021,2,25,14.218
2021,2,26,14.313
2021,2,27,14.344
2021,2,28,14.596
2021,3,1,14.622
2021,3,2,14.711
2021,3,3,14.734
2021,3,4,14.783
2021,3,5,14.748
2021,3,6,14.666
2021,3,7,14.682
2021,3,8,14.681
2021,3,9,14.692
2021,3,10,14.753
2021,3,11,14.866
2021,3,12,14.76
2021,3,13,14.624
2021,3,14,14.596
2021,3,15,14.604
2021,3,16,14.674
2021,3,17,14.718
2021,3,18,14.783
2021,3,19,14.783
2021,3,20,14.763
2021,3,21,14.787
2021,3,22,14.705
2021,3,23,14.603
2021,3,24,14.464
2021,3,25,14.483
2021,3,26,14.495
2021,3,27,14.605
2021,3,28,14.479
2021,3,29,14.541
2021,3,30,14.32
2021,3,31,14.269
2021,4,1,14.335
2021,4,2,14.266
2021,4,3,14.28
2021,4,4,14.261
2021,4,5,14.129
2021,4,6,14.113
2021,4,7,14.09
2021,4,8,14.013
2021,4,9,14.055
2021,4,10,13.847
2021,4,11,13.817
2021,4,12,13.839
2021,4,13,13.84
2021,4,14,13.777
2021,4,15,13.822
2021,4,16,13.874
2021,4,17,13.873
2021,4,18,13.862
2021,4,19,13.758
2021,4,20,13.616
